Iowa,Ackley,42.55,93.05
Iowa,Adair,41.50,94.64
Iowa,Adel,41.62,94.02
Iowa,Afton,41.03,94.20
Iowa,Agency,41.00,92.31
Iowa,Ainsworth,41.29,91.55
Iowa,Akron,42.83,96.56
Iowa,Albert-City,42.78,94.95
Iowa,Albia,41.03,92.81
Iowa,Albion,42.11,92.99
Iowa,Alburnett,42.15,91.62
Iowa,Alden,42.52,93.38
Iowa,Algona,43.07,94.23
Iowa,Alleman,41.82,93.61
Iowa,Allerton,40.71,93.37
Iowa,Allison,42.75,92.79
Iowa,Alta-Vista,43.20,92.42
Iowa,Alta,42.67,95.30
Iowa,Alton,42.99,96.01
Iowa,Altoona,41.65,93.47
Iowa,Amana,41.80,91.87
Iowa,Ames,42.03,93.63
Iowa,Anamosa,42.11,91.28
Iowa,Andrew,42.15,90.59
Iowa,Anita,41.45,94.77
Iowa,Ankeny,41.73,93.60
Iowa,Anthon,42.39,95.87
Iowa,Aplington,42.58,92.88
Iowa,Arcadia,42.09,95.05
Iowa,Arlington,42.75,91.67
Iowa,Armstrong,43.40,94.48
Iowa,Arnolds-Park,43.37,95.13
Iowa,Arthur,42.34,95.35
Iowa,Asbury,42.52,90.76
Iowa,Ashton,43.31,95.79
Iowa,Atalissa,41.57,91.17
Iowa,Atkins,41.99,91.86
Iowa,Atlantic,41.40,95.01
Iowa,Auburn,42.25,94.88
Iowa,Audubon,41.72,94.93
Iowa,Aurelia,42.71,95.43
Iowa,Avoca,41.48,95.34
Iowa,Badger,42.62,94.14
Iowa,Bagley,41.85,94.43
Iowa,Bancroft,43.29,94.22
Iowa,Batavia,41.00,92.17
Iowa,Battle-Creek,42.32,95.60
Iowa,Baxter,41.82,93.15
Iowa,Bayard,41.85,94.56
Iowa,Beacon,41.28,92.68
Iowa,Beaverdale,40.85,91.21
Iowa,Bedford,40.67,94.72
Iowa,Belle-Plaine,41.90,92.28
Iowa,Bellevue,42.26,90.43
Iowa,Belmond,42.85,93.61
Iowa,Bennett,41.74,90.97
Iowa,Bertram,41.95,91.53
Iowa,Bettendorf,41.55,90.49
Iowa,Birmingham,40.88,91.95
Iowa,Blairsburg,42.48,93.64
Iowa,Blairstown,41.91,92.08
Iowa,Blakesburg,40.96,92.64
Iowa,Blencoe,41.93,96.08
Iowa,Bloomfield,40.75,92.42
Iowa,Blue-Grass,41.51,90.76
Iowa,Bode,42.87,94.29
Iowa,Bonaparte,40.70,91.80
Iowa,Bondurant,41.69,93.46
Iowa,Boone,42.06,93.89
Iowa,Boyden,43.19,96.00
Iowa,Brandon,42.31,92.00
Iowa,Breda,42.18,94.98
Iowa,Brighton,41.17,91.82
Iowa,Britt,43.10,93.80
Iowa,Bronson,42.41,96.21
Iowa,Brooklyn,41.73,92.44
Iowa,Buffalo-Center,43.39,93.95
Iowa,Buffalo,41.46,90.72
Iowa,Burlington,40.81,91.12
Iowa,Burt,43.20,94.22
Iowa,Bussey,41.21,92.89
Iowa,Calamus,41.83,90.76
Iowa,Callender,42.36,94.29
Iowa,Calmar,43.18,91.87
Iowa,Camanche,41.79,90.26
Iowa,Cambridge,41.90,93.53
Iowa,Cantril,40.64,92.07
Iowa,Carlisle,41.50,93.49
Iowa,Carroll,42.07,94.87
Iowa,Carson,41.24,95.42
Iowa,Carter-Lake,41.29,95.91
Iowa,Cascade,42.30,91.01
Iowa,Casey,41.51,94.52
Iowa,Cedar-Falls,42.52,92.45
Iowa,Cedar-Rapids,41.98,91.67
Iowa,Center-Point,42.19,91.78
Iowa,Centerville,40.73,92.87
Iowa,Central-City,42.20,91.53
Iowa,Chariton,41.02,93.31
Iowa,Charles-City,43.07,92.68
Iowa,Charlotte,41.96,90.47
Iowa,Charter-Oak,42.07,95.59
Iowa,Chelsea,41.92,92.39
Iowa,Cherokee,42.75,95.55
Iowa,Churdan,42.15,94.48
Iowa,Cincinnati,40.63,92.92
Iowa,Clarence,41.89,91.06
Iowa,Clarinda,40.74,95.04
Iowa,Clarion,42.73,93.73
Iowa,Clarksville,42.78,92.67
Iowa,Clear-Lake,43.14,93.38
Iowa,Clearfield,40.80,94.48
Iowa,Cleghorn,42.81,95.71
Iowa,Clermont,43.00,91.65
Iowa,Clinton,41.85,90.21
Iowa,Clive,41.61,93.78
Iowa,Clutier,42.08,92.40
Iowa,Coalville,42.44,94.13
